parameter,mean,ci_025,ci_975
Beta_0,60.25476550667048,0.10933998975266769,81.88489196235399
Beta_1,-14.886335571204404,-27.099011249337252,0.012337084289021355
Beta_2,5.494432509805545,-7.284547715969935,20.32842430109829
Beta_3,0.20491310349643377,-0.23945336284818622,0.5105243002960146
Beta_4,-0.49666443011329375,-0.745480015232243,-0.1874043446057795
Beta_5,0.5246031073176275,0.2212783059473149,0.8307319123363684
Beta_6,-0.9158428219497796,-1.6136688177330902,0.5392775115830364
Beta_7,1.3386102762080563,0.6453807061650317,1.8877793557587683
Beta_8,-0.8110835107061134,-1.4374104427272887,-0.17571154801017963
Beta_9,0.4110041305403554,-0.35397667033526986,0.7617468971714413
Beta_10,-0.7510582968032189,-1.0208654231262029,-0.4666742643015466
Beta_11,0.25091441812947446,-0.11185997638108484,0.5750488377824067
Beta_12,0.10574804202626453,0.07284730398797055,0.12718662141813578
Beta_13,-0.21211391190825754,-0.23793461605099578,-0.18494804560900557
Beta_14,1.4055008320145208,1.3757286041446217,1.4393646377965308
Beta_15,-0.14017149559076253,-0.17734126184291094,-0.10174284417486798
Beta_16,1.3212644526778894,1.2911703867866733,1.3519380661053673
Beta_17,-0.08384250829017528,-0.13631396622270486,-0.03193354354015036
Beta_18,1.2532495169025781,1.2129497576174004,1.3065818930067907
Beta_19,0.03602183860958553,0.003522298242372896,0.06664253476211038
Beta_20,-0.09870843767724606,-0.14003413746853927,-0.04428590711750822
Beta_21,-0.07527206073928323,-0.1521090098993429,-0.02895593363643849
Beta_22,0.02286646347880948,-0.02745730537825561,0.07698337167942527
Beta_23,0.07233574267878441,0.0064040561872931116,0.13759248851039976
Beta_24,-0.0016223695873643085,-0.035889344422719474,0.038548322056343426
Beta_25,0.0037456041702285544,-0.02778604506330355,0.040207401411170525
Beta_26,-0.017501985343374656,-0.05507739487328194,0.023021004765404526
